R-HSA-6807505	29101	79871	5433	23379	129685	55174	4686	55726	6618	8178	5452																																																																						
R-HSA-380270	728642	9662	11116	10142	55755	11064	22897	80184	440145	9738	55125																																																																						
R-HSA-201451	6497	658	4090																																																																														
R-HSA-2173795	6497	25937	54778	4088	7050	4087	8239																																																																										
R-HSA-139915	7161	8626	27113																																																																														
R-HSA-6803204	7161	8626	665	27113																																																																													
R-HSA-6803205	7161	8626	332																																																																														
R-HSA-6803207	7161	8626	8738																																																																														
R-HSA-6803211	7161	8626	8793																																																																														
R-HSA-6804759	7161	10000	8626																																																																														
R-HSA-8939236	7161	5707	4602	4005	4331	6938	865	5714	861																																																																								
R-HSA-1296072	8514	3749	3752	3790	90134	7881	3751	9312	3742	27133	3745																																																																						
R-HSA-6798695	8514	23352	1650	10450	5236	1520	23385	6402	5768	5317	23114	5284	1378	10890	3685	5707	51143	23218	5580	23317	23200	55276	10396	51316	7097	10788	9522	411	1729	6793	3101	3106	401258	3482	154664	948	8972	5799	1508	6386	5646	23071	210	22931	240	7414	272	5870	1075	6515	4973	4033	196527	3071	5787	11010	80184	10970	121260	23250	5265	23191	5873	102	8826	55313	3684	83716	5175	11031	6093	1828	718	57153	9545	84658	2357	2204	10694	158747	3920
R-HSA-1475029	765	377677																																																																															
R-HSA-1257604	5293	2475	3932	10000	6801	7039	2066	942	3556	152831	2250	2534	2099	1956	3084	90865	4915	79109	2263	9846	2065	4254	5781	2322	57761																																																								
R-HSA-1660499	5293	80230	81846	55613	4534																																																																												
R-HSA-2219530	5293	3932	6801	7039	2066	942	152831	2250	2534	2099	1956	3084	4915	2263	9846	2065	4254	5781	2322																																																														
R-HSA-512988	5293	5781																																																																															
R-HSA-6811558	5293	3932	6801	7039	2066	942	3556	152831	2250	5528	2534	2099	1956	5516	3084	90865	4915	2263	9846	2065	4254	5781	2322	3643																																																									
R-HSA-8853659	5293	2887	2675	53358	5979	2674	9846	5781	5578	220164	55816																																																																						
R-HSA-9027276	5293																																																																																
R-HSA-912526	5293	3716	3559	9846																																																																													
R-HSA-912631	5293	2534																																																																															
R-HSA-9680350	5293	2534	9846	3845	5781																																																																												
R-HSA-983695	5293	3708	2534	80228	3709																																																																												
R-HSA-9856530	5293	2475	55970	59345	108	2324	2534	7094	2776	79109	7414	54331	115	1003	9780	5175	2788																																																																
R-HSA-141444	100526739	23421	25936	25909	57405	51143	64105	5528	1780	5516	401541	81930	57122	6249	55839	57551	332	10403	81929																																																														
R-HSA-2467813	100526739	23421	25936	25909	57405	5707	51143	23244	64105	5528	1780	5516	401541	81930	84790	57122	6249	55839	57551	332	10403	81929	5714	10735																																																									
R-HSA-2500257	100526739	23421	55732	25936	25909	57405	51143	23244	64105	5528	1780	5516	401541	81930	84790	57122	6249	55839	57551	332	10403	81929	10735																																																										
R-HSA-5663220	100526739	23421	23380	25936	25909	114793	57405	51143	1857	64105	1729	5528	60	1780	5516	401541	81930	84790	57122	6249	51466	55839	1856	57551	332	10403	81929	1730																																																					
R-HSA-606279	100526739	5928	23421	55355	64105	401541	51773	55839																																																																									
R-HSA-6783310	100526739	2177	2177	57599	6119	2189	55215	2175	6117	2067																																																																							
R-HSA-68877	100526739	23421	25936	25909	57405	51143	64105	5528	1780	5516	401541	81930	84790	57122	6249	55839	57551	332	10403	81929																																																													
R-HSA-9648025	100526739	23421	140609	25936	25909	57405	51143	64105	5528	1780	5516	401541	10783	81930	84790	57122	6249	55839	57551	332	10403	81929																																																											
R-HSA-9833482	100526739	6622	5516	2189	84790	7329	2175	4137	8894																																																																								
R-HSA-1632852	2475	51652	100526767	64422	83734	9474	51422	5564	57521	79643																																																																							
R-HSA-165159	2475	57521																																																																															
R-HSA-166208	2475	57521																																																																															
R-HSA-3371571	2475	817	816	57521																																																																													
R-HSA-380972	2475	51422	5564	57521																																																																													
R-HSA-389357	2475	3932	10000	942	2534	79109	1326	57761																																																																									
R-HSA-5218920	2475	10000	79109	7410	1003	57761																																																																											
R-HSA-5628897	2475	26523	192669	10000	9167	8626	27244	51422	2936	5564	27327	57690	57521																																																																				
R-HSA-5674400	2475	10000	2932	79109																																																																													
R-HSA-6804757	2475	10000	5516	79109																																																																													
R-HSA-8943724	2475	5928	57504	2122	5978	3066	2146	23186	23512	57521																																																																							
R-HSA-9639288	2475	245973	27244	154743	8131	57521	81929																																																																										
R-HSA-1650814	5351	255631	1301	1286	1285	1293	1295	131873	5352	9508	91522	1302	81578	1303	7373	169044	85301	7093	1292																																																														
R-HSA-6809371	23254	5317	643414	338785	3856	5046	2125	1828																																																																									
R-HSA-9013422	23013	10250	8452	6434	51138	4646	6093																																																																										
R-HSA-983168	23352	55182	148581	11146	80204	10477	8452	5707	7428	142686	868	9666	92369	6478	6047	51088	3093	8916	57630	23194	9867	55521	55819	255488	56658	56658	57531	5071	5071	142685	7328	8453	26091	6468	140461	26259	197131	54778	8925	64718	54620	7326	26118	84961	5714	10616	140456																																		
R-HSA-2132295	832	1520	22920	26052	51143	9871	51128	972	821	3119	3109	1780	830	1508	6456	9632	81930	6712	1075	84790	3798	5641	3831																																																										
R-HSA-3371497	832	51143	1780	830	84790	367																																																																											
